iter	RMSE
0	13.76035083
1	12.92896298
2	12.1250878
3	11.3727225
4	10.74921626
5	10.23623096
6	9.674315525
7	9.273900847
8	8.856284436
9	8.445786829
10	8.066389567
11	7.767035876
12	7.529024051
13	7.274789694
14	7.046280376
15	6.823135575
16	6.643427757
17	6.484261826
18	6.331215304
19	6.194770672
20	6.095032487
21	6.013467142
22	5.912707182
23	5.828342257
24	5.751573256
25	5.689530953
26	5.618349241
27	5.568161922
28	5.51714203
29	5.470737739
30	5.432320092
31	5.389333875
32	5.354656871
33	5.327178638
34	5.292540639
35	5.259918836
36	5.238551304
37	5.206707106
38	5.182183355
39	5.153395235
40	5.135488996
41	5.122900206
42	5.106393269
43	5.088973804
44	5.073166867
45	5.047404273
46	5.031060298
47	5.017237804
48	5.004746894
49	4.980180881
50	4.968084308
51	4.957744412
52	4.946064435
53	4.929568259
54	4.921570795
55	4.91105537
56	4.895260926
57	4.871080673
58	4.851954729
59	4.842280485
60	4.835980358
61	4.829762374
62	4.817843604
63	4.811502647
64	4.806655607
65	4.797383353
66	4.791746247
67	4.780856654
68	4.772834877
69	4.765295747
70	4.758102737
71	4.746270487
72	4.739804172
73	4.729262723
74	4.7173205
75	4.709754858
76	4.706476264
77	4.696559117
78	4.694116412
79	4.693132253
80	4.679722586
81	4.671148585
82	4.666307326
83	4.647825175
84	4.643823164
85	4.634421228
86	4.619718627
87	4.614480961
88	4.613211047
89	4.610805275
90	4.607181527
91	4.600311409
92	4.593805429
93	4.582066247
94	4.578227352
95	4.569652037
96	4.556751716
97	4.546430074
98	4.533014498
99	4.527777057
