iter	Passed	Remaining
0	1	131
1	2	125
2	3	122
3	4	118
4	6	117
5	7	114
6	8	112
7	9	111
8	10	110
9	12	108
10	13	106
11	14	105
12	15	104
13	16	103
14	18	102
15	19	100
16	20	99
17	21	98
18	22	96
19	23	95
20	25	94
21	26	93
22	27	91
23	28	90
24	29	89
25	31	88
26	32	87
27	33	85
28	34	84
29	35	83
30	37	82
31	38	81
32	39	79
33	40	78
34	41	77
35	42	75
36	43	74
37	44	73
38	45	71
39	47	70
40	48	69
41	49	67
42	50	66
43	50	64
44	51	63
45	52	62
46	53	60
47	54	59
48	55	58
49	56	56
50	57	55
51	58	54
52	59	52
53	60	51
54	61	50
55	62	48
56	63	47
57	63	46
58	64	44
59	65	43
60	66	42
61	67	41
62	67	39
63	68	38
64	69	37
65	70	36
66	71	35
67	72	34
68	73	32
69	73	31
70	74	30
71	75	29
72	76	28
73	77	27
74	78	26
75	78	24
76	79	23
77	80	22
78	81	21
79	81	20
80	82	19
81	83	18
82	84	17
83	85	16
84	85	15
85	86	14
86	87	13
87	88	12
88	89	11
89	89	9
90	90	8
91	91	7
92	92	6
93	93	5
94	93	4
95	94	3
96	95	2
97	96	1
98	97	0
99	98	0
